cat	SCALERANK	NATSCALE	LABELRANK	FEATURECLA	NAME	NAMEPAR	NAMEALT	DIFFASCII	NAMEASCII	ADM0CAP	CAPIN	WORLDCITY	MEGACITY	SOV0NAME	SOV_A3	ADM0NAME	ADM0_A3	ADM1NAME	ISO_A2	NOTE	LATITUDE	LONGITUDE	CHANGED	NAMEDIFF	DIFFNOTE	POP_MAX	POP_MIN	POP_OTHER	RANK_MAX	RANK_MIN	GEONAMEID	MEGANAME	LS_NAME	LS_MATCH	CHECKME	MAX_POP10	MAX_POP20	MAX_POP50	MAX_POP300	MAX_POP310	MAX_NATSCA	MIN_AREAKM	MAX_AREAKM	MIN_AREAMI	MAX_AREAMI	MIN_PERKM	MAX_PERKM	MIN_PERMI	MAX_PERMI	MIN_BBXMIN	MAX_BBXMIN	MIN_BBXMAX	MAX_BBXMAX	MIN_BBYMIN	MAX_BBYMIN	MIN_BBYMAX	MAX_BBYMAX	MEAN_BBXC	MEAN_BBYC	COMPARE	GN_ASCII	FEATURE_CL	FEATURE_CO	ADMIN1_COD	GN_POP	ELEVATION	GTOPO30	TIMEZONE	GEONAMESNO	UN_FID	UN_ADM0	UN_LAT	UN_LONG	POP1950	POP1955	POP1960	POP1965	POP1970	POP1975	POP1980	POP1985	POP1990	POP1995	POP2000	POP2005	POP2010	POP2015	POP2020	POP2025	POP2050	CITYALT	min_zoom	wikidataid	wof_id	CAPALT	name_en	name_de	name_es	name_fr	name_pt	name_ru	name_zh	label	name_ar	name_bn	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_sv	name_tr	name_vi	wdid_score	ne_id
545	9	5	7	Admin-1 capital	Laï			0	Lai	0.0		0.0	0	Chad	TCD	Chad	TCD	Tandjilé	TD		9.39500112329	16.3050034926	4.0	1	Added missing admin-1 capital. Population from GeoNames.	19382	19382	0	6	6	2429296.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Lai	P	PPLA	14.0	19382.0	0.0	362.0	Africa/Ndjamena	GeoNames match general.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		8.0	Q1856972	1141906241.0	0	Laï			Laï		Лаи	拉伊		لادي					Laï	Laï	ライ		Laï	Laï		Laï		4	1159122433
546	9	5	3	Admin-1 capital	Mainz			0	Mainz	0.0		0.0	0	Germany	DEU	Germany	DEU	Rheinland-Pfalz	DE		49.982472455	8.2732191555	4.0	0	Added place. Population from GeoNames.	184997	184997	0	9	9	2874225.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Mainz	P	PPLA	8.0	184997.0	0.0	98.0	Europe/Berlin	GeoNames match general.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		8.0	Q1720	101906993.0	0	Mainz	Mainz	Maguncia	Mayence	Mainz	Майнц	美因茨		ماينتس	মাইজ	Μάιντς	मैन्ज़	Mainz	Mainz	Magonza	マインツ	마인츠	Mainz	Moguncja	Mainz	Mainz	Mainz	4	1159122449
547	9	5	7	Admin-1 capital	Usti Nad Labem			0	Usti Nad Labem	0.0		0.0	0	Czech Republic	CZE	Czech Republic	CZE	Liberecký	CZ		50.6629981622	14.0810045544	4.0	1	Added missing admin-1 capital. Population from GeoNames.	94105	94105	0	8	8	3063548.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Usti nad Labem	P	PPLA	89.0	94105.0	0.0	230.0	Europe/Prague	GeoNames match general.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q156974	101748139.0	0	Ústí nad Labem	Ústí nad Labem	Ústí nad Labem	Ústí nad Labem	Ústí nad Labem	Усти-над-Лабем	拉贝河畔乌斯季		أوستي ناد لابم	এন্তো কান্টি	Ουστί νατ Λάμπεμ	उसती नाड लाबेम	Ústí nad Labem	Ústí nad Labem	Ústí nad Labem	ウースチー・ナド・ラベム	우스티나트라벰	Ústí nad Labem	Uście nad Łabą	Ústí nad Labem	Ústí nad Labem	Ústí nad Labem	4	1159122463
548	9	5	7	Admin-1 capital	Hradec Králové			0	Hradec Kralove	0.0		0.0	0	Czech Republic	CZE	Czech Republic	CZE	Královéhradecký	CZ		50.2059961722	15.8120015254	4.0	1	Added missing admin-1 capital. Population from GeoNames.	95195	95195	0	8	8	3074967.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Hradec Kralove	P	PPLA	82.0	95195.0	0.0	222.0	Europe/Prague	GeoNames match general.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q180139	101748133.0	0	Hradec Králové	Hradec Králové	Hradec Králové	Hradec Králové	Hradec Králové	Градец-Кралове	赫拉德茨-克拉洛韦		هرادتس كرالووه	হেরাডেক ক্রালাভ	Χράντεκ Κράλοβε	रादेक क्रालोवय	Hradec Králové	Hradec Králové	Hradec Králové	フラデツ・クラーロヴェー	흐라데츠크랄로베	Hradec Králové	Hradec Králové	Hradec Králové	Hradec Králové	Hradec Králové	4	1159122475
549	9	5	7	Admin-1 capital	Fderik			0	Fderik	0.0		0.0	0	Mauritania	MRT	Mauritania	MRT	Tiris Zemmour	MR		22.6790011345	-12.7070005319	4.0	1	Added missing admin-1 capital. Population from GeoNames.	5760	5760	0	5	5	2379615.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Fderik	P	PPLA	11.0	0.0	0.0	301.0	Africa/Nouakchott	GeoNames match general.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q113034	1141906243.0	0	Fderîck	F’dérik	F'dérik	F'Derick		Фдерик	弗德里克		افديرك						Fderik	フデリック	프데리크	Fderîck	Fudajrik	F'Dérik			4	1159122481
550	9	5	7	Admin-1 capital	Aleg			0	Aleg	0.0		0.0	0	Mauritania	MRT	Mauritania	MRT	Brakna	MR		17.0579969967	-13.9089955586	4.0	1	Added missing admin-1 capital. Population from GeoNames.	8388	8388	0	5	5	2381659.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Aleg	P	PPLA	5.0	0.0	0.0	44.0	Africa/Nouakchott	GeoNames match general.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q986384	1141906245.0	0	Aleg	Alak	Aleg	Aleg	Aleg	Алег	阿萊格		ألاك	আলেগ	Άλεγκ	आलेग		Aleg	Aleg	アレグ	알레그	Aleg	Alak	Alég	Aleg	Aleg	4	1159122491
551	9	5	7	Admin-1 capital	Akjoujt			0	Akjoujt	0.0		0.0	0	Mauritania	MRT	Mauritania	MRT	Inchiri	MR		19.7469990599	-14.3909994818	4.0	1	Added missing admin-1 capital. Population from GeoNames.	370	370	0	2	2	2381690.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Akjoujt	P	PPLA	12.0	0.0	0.0	124.0	Africa/Nouakchott	GeoNames match general.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q419544	1141906247.0	0	Akjoujt	Akjoujt	Akjoujt	Akjoujt		Акжужт	阿克茹特		أكجوجت						Akjoujt	アクジュジト	악주즈트	Akjoujt	Akdżawadżat	Akjoujt			4	1159122507
552	9	5	5	Admin-1 capital	Dahuk			0	Dahuk	0.0		0.0	0	Iraq	IRQ	Iraq	IRQ	Dihok	IQ		36.8667001273	43.0000026254	4.0	1	Added missing admin-1 capital.	986000	255000	0	11	10	96994.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0				0.0	0.0	0.0	0.0			0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		6.0	Q152831	1141906249.0	0	Dohuk	Dohuk	Duhok	Dahuk	Dohuk	Дахук	達霍克		دهوك	দোহুক	Νταχούκ	दोहुक	Dahúk	Dahuk	Dahuk	ドホーク	다후크	Duhok	Dahuk	Dihok	Duhok	Dohuk	4	1159122521
553	9	5	5	Admin-1 capital	Samarra			0	Samarra	0.0		0.0	0	Iraq	IRQ	Iraq	IRQ	Sala ad-Din	IQ		34.1939970461	43.8750006176	4.0	1	Added missing admin-1 capital. Population from GeoNames.	158508	158508	0	9	9	91597.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Samarra'	P	PPL	18.0	158508.0	0.0	82.0	Asia/Baghdad	GeoNames spatial join with similar names only.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q170047	890449805.0	0	Samarra	Samarra	Samarra	Samarra	Samarra	Самарра	薩邁拉		سامراء	সামাররা	Σαμάρα	सामर्रा	Szamarra	Samarra	Samarra	サーマッラー	사마라	Samarra	Samarra	Samarra	Samarra	Samarra	4	1159122533
554	9	5	3	Admin-1 capital	Awasa			0	Awasa	0.0		0.0	0	Ethiopia	ETH	Ethiopia	ETH	Southern Nations, Nationalities and Peoples	ET		7.05999607741	38.4769986184	4.0	1	Added missing admin-1 capital. Population from GeoNames.	133097	133097	0	9	9	343137.0			0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	Awasa	P	PPL	54.0	133097.0	0.0	1680.0	Africa/Addis_Ababa	GeoNames match with ascii name + lat + long whole numbers.	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		7.0	Q755765	890418073.0	0	Awasa	Awassa	Awasa	Awasa	Awassa	Ауаса	阿瓦薩		أواسا	আওয়াসা	Αουάσα	हेवासा	Awassa	Awasa	Auasa	アワサ	아와사	Awasa	Auasa	Awasa	Awasawa	Awasa	4	1159122553
