Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	04Feb21	4:32:57-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	1	365	12	31	2071	2632	1.8	4591.41	4843.56	128	177.2	2328.7	0.000	0.0	0.0	18449.71	94549.69	204515.616	47824.65	4765.57	4145.37	80.23	0	0	0	0	0	0	0	0	0	1	597.1
OliveGIS	04Feb21	4:32:57-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	2	1	730	12	30	2072	2620	0.7	7123.62	7585.35	127	189.8	2420.4	0.000	0.0	0.0	24846.05	128988.37	57970.534	26374.36	5488.53	5571.19	70.77	0	0	0	0	0	0	0	0	0	1	483.2
OliveGIS	04Feb21	4:32:58-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	3	1	1096	12	31	2073	2636	0.0	7115.39	7402.19	129	164.6	2210.9	0.000	0.0	0.0	21247.47	110142.16	49300.389	54382.72	5472.71	5671.36	72.68	0	0	0	0	0	0	0	0	0	1	571.5
OliveGIS	04Feb21	4:32:58-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	4	1	1461	12	31	2074	2629	0.8	7411.12	7569.54	114	180.8	1775.1	0.000	0.0	0.0	14976.52	73814.01	28475.502	10475.99	3712.93	4930.92	62.22	0	0	0	0	0	0	0	0	0	1	535.0
OliveGIS	04Feb21	4:32:58-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	5	1	1826	12	31	2075	2627	0.0	7523.58	8313.43	108	132.2	1736.6	0.000	0.0	0.0	8084.32	41879.32	16481.475	6329.30	2486.13	3881.68	44.64	0	0	0	0	0	0	0	0	0	1	365.8
OliveGIS	04Feb21	4:32:58-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	6	1	2191	12	30	2076	2615	1.9	8895.52	9592.92	96	202.3	1649.5	0.000	0.0	0.0	11684.40	57088.72	20602.855	4808.67	3007.34	4781.85	47.52	0	0	0	0	0	0	0	0	0	1	616.0
OliveGIS	04Feb21	4:32:59-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	7	1	2557	12	31	2077	2613	1.3	7301.33	8022.87	125	215.5	1918.0	0.000	0.0	0.0	13825.28	67431.82	23040.561	5691.42	2988.65	4411.54	52.74	0	0	0	0	0	0	0	0	0	1	291.6
OliveGIS	04Feb21	4:32:59-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	8	1	2922	12	31	2078	2624	2.9	7948.21	8757.56	107	195.2	1658.1	0.000	0.0	0.0	11720.84	61107.02	23278.715	7346.76	3479.74	4907.85	53.41	0	0	0	0	0	0	0	0	0	1	397.4
OliveGIS	04Feb21	4:32:59-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	9	1	3287	12	31	2079	2637	0.0	7292.00	7708.31	105	117.0	1828.3	0.000	0.0	0.0	11768.57	59546.44	23694.382	6720.16	3368.96	4585.14	56.98	0	0	0	0	0	0	0	0	0	1	428.1
OliveGIS	04Feb21	4:32:59-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	10	1	3652	12	30	2080	2650	0.8	9373.16	9614.24	113	154.3	1827.6	0.000	0.0	0.0	17307.90	85094.40	30694.273	8452.16	4142.81	5779.90	57.47	0	0	0	0	0	0	0	0	0	1	526.1
OliveGIS	04Feb21	4:32:59-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	11	1	4018	12	31	2081	2617	0.4	8373.42	9100.66	118	222.9	1985.3	0.000	0.0	0.0	11559.79	58193.50	22018.923	9602.63	3190.78	4722.84	49.43	0	0	0	0	0	0	0	0	0	1	368.7
OliveGIS	04Feb21	4:33:00-PM	/filesystem/db8753ef-f4eb-4814-b93f-4b36b7a60e11/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	12	1	4383	12	31	2082	2615	0.1	6804.73	7592.11	117	183.1	1726.7	0.000	0.0	0.0	7925.35	42090.66	16658.714	6317.12	2463.96	3693.48	46.48	0	0	0	0	0	0	0	0	0	1	334.4
